索引,说明,正确答案,错误答案,flag
index_kn,readme_s,answer1_s,answer2_s,flag_c
1,充值50元可以获得哪位仙君？,孙悟空,哪吒,0
2,以下哪个活动会定时出现双倍收益？,跨服组队,全民boss,0
3,野外boss获得奖励的方式有几种？,2种,1种,0
4,首充奖励装备名称叫什么？,定海神针,金箍棒,0
5,友情商店的购买道具货币怎么获得？,好友赠送,赠送好友,0
6,怎么获得威望值？,弟子完成师徒任务,师傅完成师徒任务,0
7,被烟火围困，暂时无法逃离时应尽量待在哪里？,窗口,门边,0
8,止血带止血是将上肢结扎于伤员上臂的哪里？,三分之一,三分之二,0
9,不能怎么处理劲椎骨骨折的伤者？,垫枕头,垫棉被,0
10,手提式二氧化碳灭火器的手轮式使用方法不包括？,拔去保险销,撕掉铅封,0
11,火灾中，房门烫手时开门会发生什么？,浓烟涌入,地震,0
12,把胶带按什么形状贴在窗上，可以加固玻璃？,米字型,口字型,0
13,风暴来临时，错误的做法是什么？,打开门窗,用手保护头部,0
14,沿山谷徒步时，遭遇大雨不该怎么做？,留在谷底,离山谷越远越好,0
15,电梯下坠时，什么动作不能保护自己？,平躺,握紧手把,0
16,"""将相和""讲的是战国时期的哪国人？",赵国,燕国,0
17,"""煮酒论英雄""的典故发生在哪个时期？",三国,隋朝,0
18,承德避暑山庄是哪个皇帝开始建造？,康熙,乾隆,0
19,一言九鼎这个典故中涉及的历史人物是？,毛遂,毛阶,0
20,床前明月光的"床"是什麽意思？,井栏,榻,0
21,人体最大的解毒器官是？,肝脏,肾脏,0
22,什麽门永远关不上?,球门,铁门,0
23,岳飞《满江红》词里所说的“靖康耻”是指哪件事 ,金灭北宋,金灭辽,0
24,世界杯足球赛几年举办一次,4,5,0
25,正常成人的脊柱有几个生理弯曲,4,2,0
26,孟夏在古代时令中是指农历几月？,4月,6月,0
27,太阳是什麽星？,恒星,行星,0
28,秦代竹简上的文字，应该是？,小篆  ,楷书,0
29,西汉文学成就中，最为突出的是？,赋和乐府诗,戏剧,0
30,李世民的帝号是什麽？,唐太宗,唐玄宗,0
31,地上小青龙，眼睛一点红，嘴里吐烟雾，为你除蚊虫。(物名) ,蚊香,橡皮擦,0
32,“水利万物而不争”出自于？,上善若水,道德经,0
33,火烧蜘蛛网 〈猜成语〉 ,一丝不挂,万念俱灰,0
34,古代中医治疗学的基础奠定于？,《伤寒杂病论》  ,《千金方》,0
35,早晨醒来，每个人都要做的第一件事是什麽？,睁开眼睛,刷牙,0
36,哪种比赛，赢的得不到奖品，输的却有奖品?,划拳喝酒,没有这种比赛,0
37,你在家里，和谁长得最像？,自己,爸爸,0
38,哪一个月有二十八天?,每个月都有,二月,0
39,真丝衣服能不能与樟脑丸放在一起？,不能,能,0
40,什麽路最窄?,冤家路窄,小巷,0
41,“琴棋书画”中的“棋”指?,围棋,象棋,0
42,马是怎样睡觉的？,站着睡,趴着睡,0
43,《论语》的作者是谁?,孔子的弟子,孔子,0
44,《草原》的作者是?,老舍,齐白石,0
45,二十四史的最后一部是?,明史,清史,0
46,谁和自己最亲近?,影子,妈妈,0
47,怎麽样做必然在街上捡到钱？,把钱包扔到地上,去街上守候,0
48,“红娘”是哪部作品中的人物?,西厢记,金瓶梅,0
49,什么东西做的人知道，买的人知道，卖的人知道，用的人却不知道 ？,棺材,牙刷,0
50,被称为“诗圣”的唐代诗人是哪位?,杜甫,李白,0
51,古筝和古琴哪一个的弦更多？,古筝,古琴,0
52,人们熟悉的“八卦”是出自?,周易,易经,0
53,从何时起，对最高统治者称“王”？,商,夏,0
54,煤气表上的“度”表示,1立方米的煤气 ,100升的煤气,0
55,不丹国旗的标志是什么,龙,狮,0
56,举重运动员举重时，为什麽要搓白粉？,吸手上的汗,耍帅,0
57,热带鱼一般生活在淡水中还是咸水中？,淡水,咸水,0
58,“国家兴亡，匹夫有责”语出?,顾炎武,辛弃疾,0
59,鱿鱼不能和什麽同吃？,山楂,鸡肉,0
60,涮羊肉起源于？,元朝,隋朝,0
61,博士后是学位吗？,不是,是,0
62,有些药品为什麽用黄色的瓶装？,防止日光照射,好看啊,0
63,冬天玻璃窗上的冰花是结在玻璃的哪一面？,室内,室外,0
64,海水所结的冰晶是？,淡的,咸的 ,0
65,元宵节赏灯的习俗始于什麽时期？,东汉,西汉,0
66,丝绸之路的开辟可以追溯到哪个朝代？,西汉,东汉,0
67,在玻璃产生之前，古代的镜子一般由什麽材料制作？,铜,铁,0
68,三人两口牵着一匹马 （猜一字）,验,仨,0
69,世界上的“风车之国”是指？,荷兰,奥地利,0
70,中国最早的中医学专著是什麽？,黄帝内经,本草纲目,0
71,人体中最先衰老的器官是？,胸腺,肝脏,0
72,什么人一年中只工作一天？,圣诞老人,乞丐,0
73,什么时候看到的月亮最大？,登上月球时,月全食时,0
74,涮羊肉起源于哪个朝代？,元,宋,0
75,四大名茶之一的龙井茶产地是哪里？,浙江杭州,福建安溪,0
76,"火车由北京到上海需要6小时,行使3小时后,火车该在什么地方?",车轨上,不确定,0
77,《清明上河图》是一幅什么画？,社会风俗画,人物风景画,0
78,摄影中用得最多的是哪种光？,可见光,紫外线,0
79,人体中最先衰老的器官是哪？,胸腺,大脑,0
80,睡美人最怕的是什么?,失眠,老鼠,0
81,山坡上有一群羊，山坡下来了一群羊，对面山上过来一群羊。一共有几群羊？,还是1群,3群,0
82,用什么可以解开所有的谜？,答案,万能钥匙,0
83,“冬天到了，春天还会远吗”语出自谁？,雪莱,孔子,0
84,早晨醒来，每个人都要做的第一件事是什么？,睁眼,洗漱,0
85,白炽灯用久了会发黑是为什么？,钨丝升华,灰太厚了,0
86,为什么稀饭要比烧饼贵？,物以稀为贵,进口的稀饭,0
87,胰岛素是一种什么物质？,蛋白质,糖类,0
88,“七月流火”指天气发生什么变化？,转凉,转热,0
89,哪一个月有二十八天？,每个月都有,10月,0
90,"小白很像他哥哥,打一成语？",真相大白,白日做梦,0
91,什么筋伤了不能贴膏药？,脑筋,脚筋,0
92,有一个字，人人见了都会念错。这是什么字？,错,偬,0
93,“昙花一现”是“现”在什么时候？,晚上,下午,0
94,小明对小张说：我可以坐在一个你永远也坐不到的地方！他坐在哪里?,小张身上,屋顶上,0
95,“户枢不蠹”的“不蠹”是什么意思？,不生虫,不变色,0
96,被称为菊月的月份几月？,9月,11月,0
97,"一个两位数去掉首位是13,去掉末位是40.请问这个数是几?",43,33,0
98,地球的年龄约有多长？,46亿年,36亿年,0
99,有一只公鹿跑起来速度高达120迈，请问它叫什么？,高速公路,神鹿,0
100,“新华字典”有多少个字？,4个字,多得数不清,0
101,坏血病是因缺什么而造成的？,维生素C,血小板,0
102,汉字“廿”表示多少？,二十,十二,0
103,辽宁曾被称为什么？,奉天,顺天,0
104,黄山有前海，天海，北海，东海，西海五大景区，“海”指的是啥？,云海,天海,0
105,古代著名的水利工程都江堰是谁设计的？,李冰父子,郭守敬,0
106,3只鸡3天下了3个蛋。100天内要100个蛋，需要多少只鸡？,3只,100只,0
107,人参的主要产地在哪？,东北,中原,0
108,哪一类茶属于发酵茶？,红茶,龙井茶,0
109,谜面，一箭穿心。打一字？,必,炎,0
110,铁锅通常用哪种铁制成？ ,生铁,熟铁,0
111,请问在相等分量下，下面哪种食物胆固醇含量最低？,兔肉,鸡肉,0
112,商品的性价比越高，其市场竞争力会怎么变化？,变强,变弱,0
113,想把梦变成现实，第一步应该干什么？,起床,继续睡,0
114,人们最初发明滑冰，目的是什么？ ,交通工具,节日庆祝,0
115,鹿茸是新生的什么？,鹿角,鹿尾,0
116,安徒生的童话《海的女儿》中的“美人鱼”现座落在哪？,丹麦,荷兰,0
117,患糖尿病是因为胰岛素量发生了什么变化？,太少,没关系,0
118,阿斯匹林是常用药，它的主要功能是什么？,解热止痛,清热解毒,0
119,狗过了独木桥就不叫了，打一成语？,过目不忘,小桥流水,0
120,恐龙属于什么动物？,爬行动物,大型动物,0
121,打破了什么人人都叫好？,世界纪录,沙袋,0
122,古书中男子手里常握有“三尺”，请问它指什么？,剑,书,0
123,有个人走独木桥，前面来了一只老虎，后面来了只熊，这个人是怎么过去的？,晕过去,跳过去,0
124,"依照西方习俗, 订婚戒指戴在左手哪根手指上？",无名指,中指,0
125,什么动物天天熬夜？,熊猫,狗,0
126,《掀起你的盖头来》是哪个民族的民歌？,维吾尔族,蒙古族,0
127,人体最大的器官是什么？,皮肤,骨骼,0
128,地球上出现的潮汐是什么原因？,地月吸引力,地日吸引力,0
129,“名不正则言不顺”是哪家的思想？,儒家,法家,0
130,古人常用松鹤延年图祝寿，鹤是生长在什么地方？,沼泽地,深山老林,0
131,什么英文字母最多人喜欢听?,CD,AB,0
132,月亮金字塔坐落在哪里？,墨西哥,埃及,0
133,“江苏”这个地名，取义于哪两个名称的连称？,南京-苏州,扬州-苏州,0
134,草原上来了一群羊，打一水果？,草莓,香蕉,0
135,吃太多手摇爆米花机爆出的米花会导致什么后果？,铅中毒,爆炸,0
136,9、10月，大马哈鱼逆流游到黑龙江是为了什么？,产卵,捕捉食物,0
137,吴道子的作品是什么？,天王送子图,天天送子图,0
138,有种动物，大小像只猫，长相又像虎，这是什么动物?,小老虎,豹子,0
139,不等腰直角三角形中对着直角的边叫做什么？,弦,股,0
140,什么人始终不敢洗澡？,泥人,原始人,0
141,黄褐斑和雀斑都多见于哪种人？,女性,人妖,0
142,“司空见惯”是说司空见惯了什么？,美女,金子,0
143,大西洋的中间是什么？,西,岛,0
144,人体最坚硬的部分是什么？,牙齿,骨头,0
145,以下哪一种商品的需求价格弹性最小？,食盐,鸡肉,0
146,“海市蜃楼”在什么时候会呈倒象？ ,下午,早上,0
147,“孑孓”是哪种动物的幼虫？,蚊子,苍蝇,0
148,沙漠之舟--骆驼的驼峰是用来储藏什么的？,脂肪,糖分,0
149,股票市场中指数大幅上升又称为什么？,牛市,熊市,0
150,水上芭蕾又称为什么？,花样游泳,水上舞蹈,0
151,从1到9哪个数字最勤劳？,2,1,0
152,从1到9哪个数字最懒惰？,1,9,0
153,能使淀粉变成蓝黑色的是什么？,碘酒,酒精,0
154,“吹箫吴市”中的“吹箫”是用来婉指什么人？,乞丐,失足妇女,0
155,怎样使麻雀安静下来？,压它一下,关笼子里,0
156,历史上哪个人跑得最快? ,曹操,博尔特,0
157,经常食用以下哪种食物容易引起铅中毒？,松花蛋,腌鸡蛋,0
158,“藕”是莲的什么部位？,茎,根,0
159,“光年”是什么单位？,长度单位,国有单位,0
160,“打蛇打七寸”的七寸是指哪里？,心脏,胆,0
161,在远古跳远是为了什么？,逃避猛兽,庆祝节日,0
162,“变脸”是哪个剧种的绝活？,川剧,越剧,0
163,人体含水量百分比最高的器官是什么?,眼球,大脑,0
164,有一只熊走过来，打一成语？,有备而来,熊经鸟伸,0
165,拿筷子吃饭，打一成语？,脍炙人口,蚕食鲸吞,0
166,甲骨文是写在哪上面的？,龟骨,贝壳,0
167,血液占成人体重的比例是多少？,7-8%,6-7%,0
168,下列名称不属于二十四节气的是？,大伏,白露,0
169,人的面部与手一样有左右偏性，那么哪种偏性的人更多？,右偏,一样多,0
170,一瓶可口可乐的净含量是多少？,355ml,325ml,0
171,蟋蟀发出的声音无法表达的行为是什么？,聊天,报警,0
172,小王在公共场合吐痰被罚5毛，拿出1元对方却找不开。你猜胆大的小王后面如何做？,再吐一次,说不用找了,0
173,五岳中的中岳是指什么？,嵩山,华山,0
174,俗称“四不象”的动物是什么？,麋鹿,鸭嘴兽,0
175,著名的卢浮宫博物馆在哪？,巴黎,马赛,0
176,飞机总是如何起飞的？,迎风,顺风,0
177,有十只羊，九只蹲在羊圈，一只蹲在猪圈。打一成语？,抑扬顿挫,羊入虎口,0
178,下列哪一种维生素经太阳照射后可转化为钙？,维生素D,维生素C,0
179,诸葛亮的办公地点，武侯祠在什么地方？,成都,剑阁,0
180,动物的哭泣一般是什么原因？,冲洗眼睛,想妈妈了,0
181,谁家没有电话？,天衣,人衣,0
182,海獭睡觉时是怎样的？,浮在水面上,钻进空木中,0
183,谁最了解鸟类？,惊弓,饲养员,0
184,周长相等的等边三角形、正方形、圆形，哪一个的面积最大？,圆形,正方形,0
185,UFO的具体含义是什么？,不明飞行物,不明生物,0
186,馒头是谁发明的？,诸葛亮,刘备,0
187,孙悟空是从哪里生出来的？,从石头中,从娘肚子里,0
188,孙悟空的金箍棒有多重？,一万三千五百斤,一万三千五百公斤,0
189,传授孙悟空法术的师傅是谁？,菩提祖师,唐僧,0
190,取经的路程共有多远？,十万八千里,十万八千公里,0
191,东海龙王为什么要到玉帝那里告孙悟空？,孙悟空拿了定海神针,家里被偷了,0
192,巨灵神的兵器是什么？,宣花斧,锤子,0
193,马天君是掌管什么的？,掌管天马,掌管兵器,0
194,摘蟠桃的仙女总共有几位？,7位,6位,0
195,唐僧是哪个朝代的人？,唐朝,隋朝,0
196,二郎神的母亲是谁？,玉帝的妹妹,玉帝的姐姐,0
197,孙悟空和二郎神大战时，谁变过豹子？,二郎神,孙悟空,0
198,观音菩萨的宝座叫什么？,莲花宝座,净世莲花,0
199,土地公是做什么的？,管理土地,房地产,0
200,猪八戒的兵器是什么？,九齿钉耙,杀猪刀,0
201,黄风怪的看家本领是什么？,刮风,放屁,0
202,猪八戒原来在天上是什么官？,天蓬元帅,海军总管,0
203,沙僧的兵器是什么？,月牙铲,日月铲,0
204,是谁假冒大圣，才有了真假美猴王？,六耳猕猴,通臂猿猴,0
205,清风是谁的徒弟？,镇元大仙,乌巢真人,0
206,镇元大仙要给唐僧吃什么？,人参果,辣条,0
207,明月在哪里学道？,五庄观,灵山,0
208,金角和银角住在哪里？,平顶山莲花洞,平顶山火云洞,0
209,猪八戒成为唐僧徒弟之前住在哪里？,高老庄,老高庄,0
210,白骨精为了吃掉唐僧变化了几次？,3次,4次,0
211,金角和银角的师傅是谁？,太上老君,菩提老祖,0
212,红孩儿的爸爸是谁？,牛魔王,太上老君,0
213,井龙王为什么那么穷？,井口被封住了,做生意失败了,0
214,独角大王是什么变的？,太上老君的坐骑青牛,独角兽,0
215,虎力大仙最大的本事是什么？,求雨,打雷,0
216,小雷公为什么帮助虎力大仙下雨？,虎力大仙贿赂他,虎力大仙是他弟弟,0
217,如来佛祖的寺庙叫什么名字？,雷音寺,金山寺,0
218,大公鸡是谁的天敌？,蜈蚣精,九头虫,0
219,九头怪这个名称是怎么来的？,他长了9个头,江湖上朋友叫的,0
220,沙僧最后被封了什么称号？,金身罗汉,金身佛陀,0
221,龙王的方天画戟重多少斤？,7200斤,17200斤,0
222,唐僧经过多少难取得真经？,81难,80难,0
223,唐僧的坐骑是谁变的？,小白龙,小黑龙,0
224,镇元大仙的宝物是什么？,人参果树,地书,0
