物品entryId,索引,"获得途径([""fight""]={关卡1Id,关卡2ID,})",提示
entryId_kn,index_kn,approach_t,showTips_s
40001,1,,宠物捕捉
40002,1,,宠物捕捉
40003,1,,宠物捕捉
40004,1,"""shop_yuanbao"",2",宠物商店
40005,1,,宠物捕捉
40006,1,,宠物捕捉
40007,1,,宠物捕捉
40008,1,,宠物捕捉
40009,1,,宠物捕捉
40010,1,"""mat_copy"",1",秘境宝藏第六章
40011,1,,宠物捕捉
40012,1,"""shop_yuanbao"",2",宠物商店
40013,1,,宠物捕捉
40014,1,"""shop_zhuangban"",1",友情商店
40015,1,"""shop_yuanbao"",2",宠物商店
40016,1,,开服第2日活动
40017,1,,猪八戒活动
40018,1,"""shop_equip"",3",帮会福利商店
40019,1,,活动获得
40020,1,"""mat_copy"",1",秘境宝藏第九章
40021,1,"""shop_zhuangban"",1",友情商店
40022,1,"""shop_jingji"",2",跑镖商店
40023,1,"""shop_yuanbao"",2",宠物商店
40024,1,"""shop_equip"",3",帮会福利商店
40025,1,"""lucky"",0",寻宝
40026,1,"""mat_copy"",1",秘境宝藏第十八章
40027,1,"""shop_yuanbao"",2",宠物商店
40028,1,"""mat_copy"",1",秘境宝藏第十五章
40029,1,"""shop_jingji"",2",跑镖商店
40030,1,,活动获得
40031,1,"""shop_deline""",生死劫商店
40032,1,,活动获得
40033,1,"""mat_copy"",1",秘境宝藏第二十七章
40034,1,"""shop_deline""",生死劫商店
40035,1,,跨服争霸
40036,1,"""mat_copy"",1",秘境宝藏三十三章
40037,1,"""shop_deline""",生死劫商店
40038,1,,跨服争霸
40039,1,"""vip""",VIP特权礼包
40043,1,,猪八戒活动
40046,1,,活动获得
40047,1,,活动获得
50012,1,,进入游戏送
50013,1,,登录第2日获得
50014,1,"""shouchong"",1",首充大礼获得
50015,1,,登录第7日获得
50016,1,"""mat_copy"",3",三界试炼15层获得
50017,1,"""vip""",VIP特权礼包
50018,1,,开服8日累充回馈
60001,1,"""shop_equip"",0",装备商店
60001,2,"""mat_copy"",0",材料副本
60002,1,"""shop_equip"",0",装备商店
60002,2,"""mat_copy"",0",材料副本
60003,1,"""shop_equip"",0",装备商店
60003,2,"""mat_copy"",0",材料副本
60007,1,"""vip""",1.VIP福利赠送
60007,2,,2.活动
63001,1,"""shop_zhuangban"",2",威望商店
63004,1,"""mat_copy"",1",秘境宝藏第三章
63005,1,"""mat_copy"",1",秘境宝藏第十二章
63006,1,"""shop_mat""",材料商店
63007,1,"""kaifu"",40",开服排行活动
63008,1,"""shop_gobal"",0",全民商店
63009,1,"""shop_equip"",1",皇城天塔福利
63010,1,"""shop_equip"",3",帮会福利商店
63011,1,"""shop_jingji"",3",答题商店
63012,1,"""shop_jingji"",3",答题商店
63013,1,"""shop_jingji"",3",答题商店
63014,1,"""mat_copy"",1",秘境宝藏第十七章
63015,1,"""mat_copy"",1",秘境宝藏第二十一章
63016,1,"""shop_jingji"",1",竞技福利
63017,1,"""shop_jingji"",1",竞技福利
63018,1,"""shop_heishi""",神秘商店
63019,1,"""shop_equip"",3",帮会福利商店
63020,1,"""shop_zhuangban"",1",友情商店
63021,1,"""shop_zhuangban"",1",友情商店
63022,1,"""mat_copy"",1",秘境宝藏第二十四章
63023,1,"""mat_copy"",1",秘境宝藏第二十六章
63024,1,"""shop_jingji"",3",答题商店
63025,1,"""shop_jingji"",3",答题商店
63026,1,"""shop_jingji"",3",答题商店
63027,1,"""shop_equip"",3",帮会福利商店
63028,1,,开服第2日活动
63029,1,"""mat_copy"",1",秘境宝藏第十三章
63030,1,"""shop_zhuangban"",2",威望商店
63031,1,"""shop_zhuangban"",2",威望商店
63032,1,"""shop_zhuangban"",2",威望商店
63033,1,"""shop_zhuangban"",2",威望商店
64001,1,"""shop_heishi""",神秘商店
64003,1,"""vip""",VIP特权礼包
64002,1,"""shouchong"",2",首充活动
64004,1,"""shop_heishi""",神秘商店
64005,1,"""shop_jingji"",2",押镖商店
64006,1,"""shop_equip"",3",帮会福利商店
64007,1,,开服第5日活动
65003,1,"""shop_equip"",3",帮会福利商店
65004,1,"""shop_heishi""",神秘商店
65005,1,"""vip""",VIP特权礼包
65006,1,"""shop_equip"",3",帮会福利商店
65007,1,,开服第3日活动
65008,1,"""shop_jingji"",3",答题商店
66001,1,"""shop_heishi""",神秘商店
66002,1,"""shop_equip"",3",帮会福利商店
66003,1,,开服第7日活动
67001,1,"""shop_heishi""",神秘商店
67003,1,"""vip""",VIP特权礼包
67004,1,"""shop_zhuangban"",1",友情商店
67005,1,"""shop_heishi""",神秘商店
67006,1,"""shop_zhuangban"",1",友情商店
67007,1,,开服第4日活动
67008,1,"""shop_jingji"",3",答题商店
67009,1,"""shop_zhuangban"",0",皮肤商店
67010,1,"""shop_heishi""",神秘商店
68001,1,"""shop_heishi""",神秘商店
68002,1,"""shop_zhuangban"",1",友情商店
68003,1,"""shop_heishi""",神秘商店
68004,1,"""shop_equip"",3",帮会福利商店
68005,1,,开服第6日活动
68006,1,"""shop_heishi""",神秘商店
68007,1,"""shouchong"",3",首充活动
68008,1,"""shop_heishi""",神秘商店
68009,1,"""shop_zhuangban"",0",皮肤商店
68010,1,"""shop_heishi""",神秘商店
69001,1,"""shop_heishi""",神秘商店
69002,1,"""shop_zhuangban"",0",皮肤商店
60074,1,"""boss"",3",生死劫
60075,1,"""boss"",3",生死劫
60074,2,"""daily"",2",300环
60075,2,"""daily"",2",300环
60033,1,,充值活动
60034,1,,充值活动
60035,1,,充值活动
60036,1,,充值活动
60037,1,,充值活动
60038,1,,充值活动
60039,1,,充值活动
60040,1,,充值活动
60041,1,,充值活动
60042,1,,充值活动
60043,1,,充值活动
60044,1,,充值活动
67001,1,"""shop_zhuangban"",1",友情商店
67002,1,"""shop_equip"",3",帮会福利商店
63003,1,,登录福利
20001,1,"""mat_copy"",0",材料副本
20002,1,"""mat_copy"",0",材料副本
20003,1,"""mat_copy"",0",材料副本
20004,1,"""mat_copy"",0",材料副本
20005,1,"""mat_copy"",0",材料副本
20006,1,"""mat_copy"",0",材料副本
20007,1,"""mat_copy"",0",材料副本
20008,1,"""mat_copy"",0",材料副本
65001,1,"""shitu"",0",结婚获得
40056,1,,宠物捕捉
40057,1,,活动获得
60016,1,"""activitylist""",跨服争霸
40058,1,,活动获得
40059,1,,关卡首通获得
40060,1,,关卡首通获得
40061,1,,关卡首通获得
63034,1,,关卡首通获得
63035,1,,关卡首通获得
63036,1,,关卡首通获得
63037,1,,关卡首通获得
63038,1,,关卡首通获得
63039,1,,关卡首通获得
63040,1,,关卡首通获得
63041,1,,关卡首通获得
63042,1,,关卡首通获得
63043,1,,活动获得
63045,1,"""vip""",VIP特权礼包
63046,1,,开服排行活动
64008,1,,开服排行活动
67011,1,,开服排行活动
67012,1,,开服排行活动
68011,1,,开服排行活动
68012,1,,开服排行活动
63046,1,,开服排行活动
66004,1,,开服排行活动
64009,1,,开服排行活动
66005,1,,开服排行活动
67013,1,,开服排行活动
67014,1,,开服排行活动
68013,1,,开服排行活动
68014,1,,开服排行活动
63049,1,,开服排行活动
63050,1,,开服排行活动
40100,1,"""hecheng""",宠物合成
40101,1,"""hecheng""",宠物合成
40102,1,"""hecheng""",宠物合成
40103,1,"""hecheng""",宠物合成
40104,1,"""hecheng""",宠物合成
40105,1,"""hecheng""",宠物合成
40106,1,"""hecheng""",宠物合成
40107,1,"""hecheng""",宠物合成
40108,1,"""hecheng""",宠物合成
40109,1,"""hecheng""",宠物合成
60112,1,"""caikuang""",采矿选择10号材料箱
60113,1,"""caikuang""",采矿选择5号材料箱
60114,1,"""caikuang""",采矿选择1号材料箱
60115,1,"""caikuang""",采矿选择6号材料箱
60116,1,"""caikuang""",采矿选择1号材料箱
60117,1,"""caikuang""",采矿选择4号材料箱
60118,1,"""caikuang""",采矿选择3号材料箱
60119,1,"""caikuang""",采矿选择4号材料箱
60120,1,"""caikuang""",采矿选择4号材料箱
60121,1,"""caikuang""",采矿选择9号材料箱
60122,1,"""caikuang""",采矿选择2号材料箱
60123,1,"""caikuang""",采矿选择6号材料箱
60124,1,"""caikuang""",采矿选择9号材料箱
60125,1,"""caikuang""",采矿选择7号材料箱
60126,1,"""caikuang""",采矿选择1号材料箱
60127,1,"""caikuang""",采矿选择2号材料箱
60128,1,"""caikuang""",采矿选择5号材料箱
60129,1,"""caikuang""",采矿选择9号材料箱
60130,1,"""caikuang""",采矿选择6号材料箱
60131,1,"""caikuang""",采矿选择7号材料箱
60132,1,"""caikuang""",采矿选择3号材料箱
60133,1,"""caikuang""",采矿选择8号材料箱
60134,1,"""caikuang""",采矿选择5号材料箱
60135,1,"""caikuang""",采矿选择7号材料箱
60136,1,"""caikuang""",采矿选择8号材料箱
60137,1,"""caikuang""",采矿选择2号材料箱
60138,1,"""caikuang""",采矿选择10号材料箱
60139,1,"""caikuang""",采矿选择3号材料箱
60140,1,"""caikuang""",采矿选择8号材料箱
60141,1,"""caikuang""",采矿选择10号材料箱
60142,1,"""judian""",天魔
60188,1,"""judian""",天魔
60182,1,,神宠宝箱碎片合成
60183,1,,花辇宝箱碎片合成
60184,1,,万能宝箱碎片合成
60185,1,"""judian""",天魔
60186,1,"""judian""",天魔
60187,1,"""judian""",天魔
40112,1,,120级等级礼包获得
60046,1,,每日首充
60046,2,"""daily"",0",日常活动
60046,3,"""lucky"",0",寻宝
60046,4,"""activitylist""",跨服争霸
60046,5,"""activitylist""",武林盟主
50100,1,,炼妖壶商店
40111,1,,活动获得
40110,1,"""judian""",天魔
40004,2,"""pet_milu""",宠物召集
40005,2,"""pet_milu""",宠物召集
40006,2,"""pet_milu""",宠物召集
40007,2,"""pet_milu""",宠物召集
40008,2,"""pet_milu""",宠物召集
40009,2,"""pet_milu""",宠物召集
40010,2,"""pet_milu""",宠物召集
40011,2,"""pet_milu""",宠物召集
40012,2,"""pet_milu""",宠物召集
40013,2,"""pet_milu""",宠物召集
40014,2,"""pet_milu""",宠物召集
40015,2,"""pet_milu""",宠物召集
40056,2,"""pet_milu""",宠物召集
40018,2,"""pet_milu""",宠物召集
40020,2,"""pet_milu""",宠物召集
40021,2,"""pet_milu""",宠物召集
40022,2,"""pet_milu""",宠物召集
40023,2,"""pet_milu""",宠物召集
40024,2,"""pet_milu""",宠物召集
40026,2,"""pet_milu""",宠物召集
40027,2,"""pet_milu""",宠物召集
40028,2,"""pet_milu""",宠物召集
40029,2,"""pet_milu""",宠物召集
40030,2,"""pet_milu""",宠物召集
40031,2,"""pet_milu""",宠物召集
40033,2,"""pet_milu""",宠物召集
40034,2,"""pet_milu""",宠物召集
40035,2,"""pet_milu""",宠物召集
40036,2,"""pet_milu""",宠物召集
40037,2,"""pet_milu""",宠物召集
40038,2,"""pet_milu""",宠物召集
40025,2,"""pet_milu""",宠物召集
40040,1,"""pet_milu""",宠物召集
40045,1,"""pet_milu""",宠物召集
40041,1,"""pet_milu""",宠物召集
40042,1,"""pet_milu""",宠物召集
40044,1,"""pet_milu""",宠物召集
40048,1,"""pet_milu""",宠物召集
40049,1,"""pet_milu""",宠物召集
40051,1,"""pet_milu""",宠物召集
40050,1,"""lucky"",0",寻宝
40054,1,"""lucky"",0",寻宝
40052,1,"""lucky"",0",寻宝
40053,1,"""lucky"",0",寻宝
40055,1,"""lucky"",0",寻宝
50100,1,"""shop_lianyaohu"",0",炼妖壶商店
50018,1,"""lucky"",0",寻宝
50019,1,"""lucky"",0",寻宝
50020,1,"""lucky"",0",寻宝
50011,1,"""lucky"",0",寻宝
50101,1,"""lucky"",0",寻宝
40050,2,"""shop_lianyaohu"",0",炼妖壶商店
